DateTime,fdom,
5/4/2022 21:15,13.02901586,0.352373654
5/4/2022 21:30,12.96978371,0.350771703
5/4/2022 21:45,12.83555155,0.347141354
5/4/2022 22:00,12.89631939,0.348784838
5/4/2022 22:15,12.87708724,0.348264699
5/4/2022 22:30,12.90285508,0.348961598
5/4/2022 22:45,12.84862293,0.347494873
5/4/2022 23:00,12.83439077,0.34710996
5/4/2022 23:15,12.84515862,0.34740118
5/4/2022 23:30,12.93592646,0.349856023
5/4/2022 23:45,12.8716943,0.348118845
5/5/2022 0:00,12.64246215,0.341919193
5/5/2022 0:15,12.90822999,0.349106964
5/5/2022 0:30,12.81899784,0.346693654
5/5/2022 0:45,12.79476568,0.346038287
5/5/2022 1:00,12.86053353,0.347816999
5/5/2022 1:15,12.84630137,0.347432086
5/5/2022 1:30,12.78206921,0.345694908
5/5/2022 1:45,12.45283706,0.336790725
5/5/2022 2:00,12.9636049,0.350604595
5/5/2022 2:15,12.99437275,0.351436721
5/5/2022 2:30,12.81514059,0.346589333
5/5/2022 2:45,12.91090844,0.349179403
5/5/2022 3:00,12.99667628,0.35149902
5/5/2022 3:15,13.00244412,0.351655013
5/5/2022 3:30,12.80321197,0.34626672
5/5/2022 3:45,12.89397981,0.348721563
5/5/2022 4:00,12.85974766,0.347795745
5/5/2022 4:15,12.9005155,0.348898323
5/5/2022 4:30,12.84128335,0.347296372
5/5/2022 4:45,12.83705119,0.347181912
5/5/2022 5:00,12.82281903,0.346796999
5/5/2022 5:15,12.78858688,0.34587118
5/5/2022 5:30,12.69435472,0.343322643
5/5/2022 5:45,12.74012257,0.344560448
5/5/2022 6:00,12.89589041,0.348773236
5/5/2022 6:15,12.93665826,0.349875815
5/5/2022 6:30,12.9874261,0.351248847
5/5/2022 6:45,12.96319394,0.35059348
5/5/2022 7:00,13.12396179,0.354941495
5/5/2022 7:15,13.04972963,0.352933864
5/5/2022 7:30,13.09049748,0.354036443
5/5/2022 7:45,13.03626532,0.352569718
5/5/2022 8:00,13.11203317,0.354618882
5/5/2022 8:15,12.98780101,0.351258986
5/5/2022 8:30,13.01356885,0.351955885
5/5/2022 8:45,12.9893367,0.351300519
5/5/2022 9:00,12.98510454,0.351186059
5/5/2022 9:15,12.92087239,0.349448881
5/5/2022 9:30,12.86664023,0.347982156
